,ChiSquaredMonteCarlo_comparisons
GATA2___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
GATA2___CHR_NTUH_BP_MPN_VS_LAML_TCGA,1
GATA2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
GATA2___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
SF3B1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.00129987
SF3B1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1.00E-04
SF3B1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.00479952
SF3B1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.00129987
SF3B1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
SF3B1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
SF3B1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1.00E-04
SF3B1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1
SF3B1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
SF3B1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.00479952
SF3B1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
SF3B1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
BCOR___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.149985001
BCOR___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.00389961
BCOR___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.067793221
BCOR___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.160083992
BCOR___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.731226877
BCOR___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
BCOR___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.00389961
BCOR___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.731226877
BCOR___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
